"Variable","category","amount"
"Age, years (mean±SD)","","51 (±13.5)"
"Gender (% female)","","54.1"
"Country, n (%)","US","23 (27.7)"
NA,"UK","12 (27.7)"
NA,"Other European countries","24 (24)"
NA,"Australia","8 (9.6)"
NA,"Canada","7 (8.4)"
NA,"East Asia","17 (20.5)"
NA,"Other","17 (20.5)"
"Format, n (%)","Interventional or Clinical: Randomized Trial","14 (16.9)"
NA,"Observational: cohort","9 (10.8)"
NA,"Other","60 (72.3)"
"Number of sessions, n (%)","1","57 (68.7)"
NA,"2-3","22 (26.5)"
NA,">3","3 (3.6)"
"groups within study, n (%)","1","44 (53)"
NA,"2-3","36 (43.4)"
NA,">3","2 (2.4)"
"mean","PROMIS > 60","329 (78.3)"
NA,"around","91 (21.7)"
NA,"40-60",NA
"Number of times a questionnaire was used in the studies","BDI II","36 (43.4)"
NA,"CESD","27 (32.5)"
NA,"HADS","52 (62.7)"
NA,"PHQ","41 (49.4)"
NA,"PROMIS","6 (7.2)"
